ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
huy       2001  1329  0 01:36 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volum
huy       2006  1329  0 01:36 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-mo
root      2021     1  0 01:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/fwupd/
huy       2026  1329  0 01:36 ?        00:00:00 /usr/lib/evolution/evolution-cal
huy       2031  1329  0 01:37 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spaw
huy       2047  1329  0 01:37 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
huy       2063  2026  0 01:37 ?        00:00:00 /usr/lib/evolution/evolution-cal
huy       2073  1329  0 01:37 ?        00:00:00 /usr/lib/evolution/evolution-add
huy       2077  2026  0 01:37 ?        00:00:00 /usr/lib/evolution/evolution-cal
huy       2080  1726  0 01:37 ?        00:00:00 /usr/lib/gnome-user-share/gnome-
huy       2100  1329  0 01:37 ?        00:00:00 /usr/lib/bluetooth/obexd
huy       2106  2073  0 01:37 ?        00:00:00 /usr/lib/evolution/evolution-add
huy       2143  1726  0 01:37 ?        00:00:00 zeitgeist-datahub
huy       2149  1329  0 01:37 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux
huy       2165  2149  0 01:37 ?        00:00:00 /usr/bin/zeitgeist-daemon
huy       2172  1329  0 01:37 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitge
huy       2202  1329  0 01:37 ?        00:00:01 /usr/lib/gnome-terminal/gnome-te
huy       2209  2202  0 01:37 pts/6    00:00:00 bash
huy       2260  1726  0 01:37 ?        00:00:00 update-notifier
huy       2278  1329  0 01:38 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-
huy       2289  1329  0 01:38 ?        00:00:00 /usr/bin/unity-scope-loader appl
huy       2291  1329  0 01:38 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-
huy       2339  1329  0 01:38 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --sp
huy       2366  1329  0 01:38 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spaw
root      2371  2209  0 01:38 pts/6    00:00:00 sudo su
root      2374  2371  0 01:38 pts/6    00:00:00 su
root      2375  2374  0 01:38 pts/6    00:00:00 bash
